bar_mark,host_type,host_code,group_name,bar_type,diameter_mm,spacing_mm,shape_code,shape_description,quantity,single_length_m,total_length_m,total_weight_kg,anchorage_status,lap_status,hook_status,note
SP-L3-11-109,internal_support,SP-L3-11,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-11-110,internal_support,SP-L3-11,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-12-111,internal_support,SP-L3-12,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-12-112,internal_support,SP-L3-12,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-13-113,internal_support,SP-L3-13,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-13-114,internal_support,SP-L3-13,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-14-115,internal_support,SP-L3-14,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-14-116,internal_support,SP-L3-14,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L3-1-117,internal_support,DB-L3-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L3-1-118,internal_support,DB-L3-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L3-2-119,internal_support,DB-L3-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L3-2-120,internal_support,DB-L3-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L3-3-121,internal_support,DB-L3-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L3-3-122,internal_support,DB-L3-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L3-4-123,internal_support,DB-L3-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L3-4-124,internal_support,DB-L3-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-1-125,internal_support,SP-L4-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-1-126,internal_support,SP-L4-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-2-127,internal_support,SP-L4-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-2-128,internal_support,SP-L4-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-3-129,internal_support,SP-L4-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-3-130,internal_support,SP-L4-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-4-131,internal_support,SP-L4-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-4-132,internal_support,SP-L4-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-5-133,internal_support,SP-L4-5,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-5-134,internal_support,SP-L4-5,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-6-135,internal_support,SP-L4-6,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-6-136,internal_support,SP-L4-6,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-7-137,internal_support,SP-L4-7,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-7-138,internal_support,SP-L4-7,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-8-139,internal_support,SP-L4-8,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-8-140,internal_support,SP-L4-8,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-9-141,internal_support,SP-L4-9,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-9-142,internal_support,SP-L4-9,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-10-143,internal_support,SP-L4-10,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-10-144,internal_support,SP-L4-10,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-11-145,internal_support,SP-L4-11,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-11-146,internal_support,SP-L4-11,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-12-147,internal_support,SP-L4-12,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-12-148,internal_support,SP-L4-12,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-13-149,internal_support,SP-L4-13,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-13-150,internal_support,SP-L4-13,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L4-14-151,internal_support,SP-L4-14,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L4-14-152,internal_support,SP-L4-14,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L4-1-153,internal_support,DB-L4-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L4-1-154,internal_support,DB-L4-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L4-2-155,internal_support,DB-L4-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L4-2-156,internal_support,DB-L4-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L4-3-157,internal_support,DB-L4-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L4-3-158,internal_support,DB-L4-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L4-4-159,internal_support,DB-L4-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L4-4-160,internal_support,DB-L4-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-1-161,internal_support,SP-L5-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-1-162,internal_support,SP-L5-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-2-163,internal_support,SP-L5-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-2-164,internal_support,SP-L5-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-3-165,internal_support,SP-L5-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-3-166,internal_support,SP-L5-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-4-167,internal_support,SP-L5-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-4-168,internal_support,SP-L5-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-5-169,internal_support,SP-L5-5,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-5-170,internal_support,SP-L5-5,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-6-171,internal_support,SP-L5-6,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-6-172,internal_support,SP-L5-6,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-7-173,internal_support,SP-L5-7,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-7-174,internal_support,SP-L5-7,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-8-175,internal_support,SP-L5-8,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-8-176,internal_support,SP-L5-8,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-9-177,internal_support,SP-L5-9,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-9-178,internal_support,SP-L5-9,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-10-179,internal_support,SP-L5-10,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-10-180,internal_support,SP-L5-10,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-11-181,internal_support,SP-L5-11,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-11-182,internal_support,SP-L5-11,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-12-183,internal_support,SP-L5-12,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-12-184,internal_support,SP-L5-12,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-13-185,internal_support,SP-L5-13,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-13-186,internal_support,SP-L5-13,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L5-14-187,internal_support,SP-L5-14,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L5-14-188,internal_support,SP-L5-14,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L5-1-189,internal_support,DB-L5-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L5-1-190,internal_support,DB-L5-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L5-2-191,internal_support,DB-L5-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L5-2-192,internal_support,DB-L5-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L5-3-193,internal_support,DB-L5-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L5-3-194,internal_support,DB-L5-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L5-4-195,internal_support,DB-L5-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L5-4-196,internal_support,DB-L5-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
ND-SP-L1-1-A-197,support_wale_node,ND-SP-L1-1-A,节点附加竖向筋,additional,20.0,,99,additional_detail_bar_manual_review,4,3.45,13.8,34.03,manual_review,manual_review,manual_review,support-to-wale node vertical bars
ND-SP-L1-1-A-198,support_wale_node,ND-SP-L1-1-A,节点加密箍筋,stirrup,12.0,100.0,21,closed_stirrup_with_135deg_hooks,31,5.5,170.5,151.37,manual_review,manual_review,manual_review,dense stirrups in node core
ND-SP-L1-1-B-199,support_wale_node,ND-SP-L1-1-B,节点附加竖向筋,additional,20.0,,99,additional_detail_bar_manual_review,4,3.45,13.8,34.03,manual_review,manual_review,manual_review,support-to-wale node vertical bars
ND-SP-L1-1-B-200,support_wale_node,ND-SP-L1-1-B,节点加密箍筋,stirrup,12.0,100.0,21,closed_stirrup_with_135deg_hooks,31,5.5,170.5,151.37,manual_review,manual_review,manual_review,dense stirrups in node core
ND-SP-L1-2-A-201,support_wale_node,ND-SP-L1-2-A,节点附加竖向筋,additional,20.0,,99,additional_detail_bar_manual_review,4,3.45,13.8,34.03,manual_review,manual_review,manual_review,support-to-wale node vertical bars
ND-SP-L1-2-A-202,support_wale_node,ND-SP-L1-2-A,节点加密箍筋,stirrup,12.0,100.0,21,closed_stirrup_with_135deg_hooks,31,5.5,170.5,151.37,manual_review,manual_review,manual_review,dense stirrups in node core
ND-SP-L1-2-B-203,support_wale_node,ND-SP-L1-2-B,节点附加竖向筋,additional,20.0,,99,additional_detail_bar_manual_review,4,3.45,13.8,34.03,manual_review,manual_review,manual_review,support-to-wale node vertical bars
ND-SP-L1-2-B-204,support_wale_node,ND-SP-L1-2-B,节点加密箍筋,stirrup,12.0,100.0,21,closed_stirrup_with_135deg_hooks,31,5.5,170.5,151.37,manual_review,manual_review,manual_review,dense stirrups in node core
ND-SP-L1-3-A-205,support_wale_node,ND-SP-L1-3-A,节点附加竖向筋,additional,20.0,,99,additional_detail_bar_manual_review,4,3.45,13.8,34.03,manual_review,manual_review,manual_review,support-to-wale node vertical bars
ND-SP-L1-3-A-206,support_wale_node,ND-SP-L1-3-A,节点加密箍筋,stirrup,12.0,100.0,21,closed_stirrup_with_135deg_hooks,31,5.5,170.5,151.37,manual_review,manual_review,manual_review,dense stirrups in node core
ND-SP-L1-3-B-207,support_wale_node,ND-SP-L1-3-B,节点附加竖向筋,additional,20.0,,99,additional_detail_bar_manual_review,4,3.45,13.8,34.03,manual_review,manual_review,manual_review,support-to-wale node vertical bars
ND-SP-L1-3-B-208,support_wale_node,ND-SP-L1-3-B,节点加密箍筋,stirrup,12.0,100.0,21,closed_stirrup_with_135deg_hooks,31,5.5,170.5,151.37,manual_review,manual_review,manual_review,dense stirrups in node core
ND-SP-L1-4-A-209,support_wale_node,ND-SP-L1-4-A,节点附加竖向筋,additional,20.0,,99,additional_detail_bar_manual_review,4,3.45,13.8,34.03,manual_review,manual_review,manual_review,support-to-wale node vertical bars
ND-SP-L1-4-A-210,support_wale_node,ND-SP-L1-4-A,节点加密箍筋,stirrup,12.0,100.0,21,closed_stirrup_with_135deg_hooks,31,5.5,170.5,151.37,manual_review,manual_review,manual_review,dense stirrups in node core
ND-SP-L1-4-B-211,support_wale_node,ND-SP-L1-4-B,节点附加竖向筋,additional,20.0,,99,additional_detail_bar_manual_review,4,3.45,13.8,34.03,manual_review,manual_review,manual_review,support-to-wale node vertical bars
ND-SP-L1-4-B-212,support_wale_node,ND-SP-L1-4-B,节点加密箍筋,stirrup,12.0,100.0,21,closed_stirrup_with_135deg_hooks,31,5.5,170.5,151.37,manual_review,manual_review,manual_review,dense stirrups in node core
ND-SP-L1-5-A-213,support_wale_node,ND-SP-L1-5-A,节点附加竖向筋,additional,20.0,,99,additional_detail_bar_manual_review,4,3.45,13.8,34.03,manual_review,manual_review,manual_review,support-to-wale node vertical bars
ND-SP-L1-5-A-214,support_wale_node,ND-SP-L1-5-A,节点加密箍筋,stirrup,12.0,100.0,21,closed_stirrup_with_135deg_hooks,31,5.5,170.5,151.37,manual_review,manual_review,manual_review,dense stirrups in node core
ND-SP-L1-5-B-215,support_wale_node,ND-SP-L1-5-B,节点附加竖向筋,additional,20.0,,99,additional_detail_bar_manual_review,4,3.45,13.8,34.03,manual_review,manual_review,manual_review,support-to-wale node vertical bars
ND-SP-L1-5-B-216,support_wale_node,ND-SP-L1-5-B,节点加密箍筋,stirrup,12.0,100.0,21,closed_stirrup_with_135deg_hooks,31,5.5,170.5,151.37,manual_review,manual_review,manual_review,dense stirrups in node core
ND-SP-L1-6-A-217,support_wale_node,ND-SP-L1-6-A,节点附加竖向筋,additional,20.0,,99,additional_detail_bar_manual_review,4,3.45,13.8,34.03,manual_review,manual_review,manual_review,support-to-wale node vertical bars
ND-SP-L1-6-A-218,support_wale_node,ND-SP-L1-6-A,节点加密箍筋,stirrup,12.0,100.0,21,closed_stirrup_with_135deg_hooks,31,5.5,170.5,151.37,manual_review,manual_review,manual_review,dense stirrups in node core
ND-SP-L1-6-B-219,support_wale_node,ND-SP-L1-6-B,节点附加竖向筋,additional,20.0,,99,additional_detail_bar_manual_review,4,3.45,13.8,34.03,manual_review,manual_review,manual_review,support-to-wale node vertical bars
